tea,butter,sugar,broccoli,bread,rice,onion,pepper
broccoli,onion,tomato,beans,juice,lentils,chicken,flour
cabbage,cucumber,onion,flour,potato,,,
cucumber,butter,juice,lentils,pepper,,,
cucumber,lentils,flour,pasta,cereal,broccoli,milk,
yogurt,tea,sugar,tomato,butter,broccoli,,
potato,rice,flour,lentils,cucumber,lettuce,coffee,chicken
lentils,oil,coffee,pasta,tea,,,
beans,flour,chicken,tomato,salt,yogurt,lentils,
beans,lettuce,spinach,eggs,cucumber,,,
rice,bread,juice,pepper,oil,lettuce,,
oil,lentils,carrot,butter,cucumber,cereal,lettuce,eggs
carrot,tomato,juice,cheese,lettuce,spinach,milk,
lentils,cheese,pepper,spinach,juice,chicken,potato,
butter,pepper,coffee,rice,carrot,,,
tomato,cabbage,coffee,juice,tea,cheese,rice,
oil,lettuce,cheese,pepper,eggs,tea,chicken,bread
spinach,eggs,flour,carrot,tomato,pepper,lettuce,
yogurt,cereal,flour,lettuce,tea,rice,oil,
pepper,cereal,chicken,pasta,cabbage,cheese,butter,rice
yogurt,butter,lentils,tea,cucumber,bread,spinach,
beans,pasta,cabbage,bread,juice,lentils,,
rice,spinach,juice,bread,tea,carrot,pasta,pepper
rice,coffee,cereal,chicken,spinach,,,
butter,lentils,yogurt,cabbage,lettuce,oil,eggs,
rice,lettuce,broccoli,cheese,cucumber,milk,,
beans,spinach,yogurt,butter,lettuce,broccoli,milk,
beans,salt,coffee,lentils,carrot,,,
cheese,bread,lettuce,eggs,broccoli,lentils,flour,salt
cereal,milk,carrot,rice,sugar,cheese,,
lentils,broccoli,milk,eggs,carrot,cabbage,,
cheese,yogurt,milk,rice,oil,cereal,flour,butter
yogurt,cheese,cucumber,potato,coffee,tomato,,
tea,milk,bread,onion,sugar,juice,coffee,
salt,rice,cheese,milk,butter,,,
pepper,tomato,yogurt,milk,butter,,,
yogurt,spinach,potato,cabbage,pasta,,,
milk,cheese,yogurt,spinach,lettuce,cabbage,carrot,
juice,sugar,spinach,cereal,rice,eggs,lentils,bread
tomato,carrot,cereal,chicken,tea,pepper,,
lettuce,pepper,oil,flour,cheese,,,
lettuce,tea,carrot,pasta,eggs,,,
tea,sugar,lentils,salt,chicken,cheese,,
flour,butter,pasta,cabbage,sugar,tomato,,
potato,salt,coffee,cucumber,oil,broccoli,tea,
butter,beans,carrot,potato,cheese,tomato,,
cereal,onion,tomato,sugar,oil,pepper,flour,
onion,flour,pasta,sugar,yogurt,oil,,
cereal,pepper,salt,juice,lentils,eggs,,
eggs,spinach,sugar,salt,lentils,flour,,
